"CommitteeName","CommitteeID","CommitteeType","DateRegistered","CommitteeStatus","JurisdictionDesc"
"COLORADOANS AGAINST LAWSUIT ABUSE (CALA)","20085601115","527 Political Organization","01/07/2008","Terminated","STATEWIDE"
"FRIENDS OF LAURI CLAPP","20085601116","Candidate Committee","01/07/2008","Terminated","STATEWIDE"
"COMMITTEE TO ELECT AARON HOBBS","20085601586","Candidate Committee","01/10/2008","Terminated","STATEWIDE"
"COMMITTEE TO REELECT DISTRICT ATTORNEY MARTIN BEESON","20085601598","Candidate Committee","01/12/2008","Terminated","STATEWIDE"
"BILL JAMES 4 RTD","20085601610","Candidate Committee","01/11/2008","Terminated","STATEWIDE"
"REPUBLICAN WOMEN OF THE SUMMIT","20085601622","527 Political Organization","01/13/2008","Terminated","STATEWIDE"
"UFCW LOCAL 7 POLITICAL COMMITTEE","20085601634","Political Committee","01/11/2008","Active","STATEWIDE"
"TOKERUD FOR HD44","20085601983","Candidate Committee","01/15/2008","Terminated","STATEWIDE"
"FRIENDS OF YTTERBERG","20085602227","Candidate Committee","01/16/2008","Terminated","STATEWIDE"
"COLORADO LEADERSHIP FUND POLITICAL COMMITTEE","20085602280","527 Political Organization","01/15/2008","Terminated","STATEWIDE"
"COLORADO TRIAL LAWYERS ASSOCIATION POLITICAL ACTION COMMITTEE (CTLA)","20085602292","527 Political Organization","01/16/2008","Terminated","STATEWIDE"
"SOUTHWEST REPUBLICAN WOMEN (SWRW)","20085602304","527 Political Organization","01/15/2008","Terminated","STATEWIDE"
"COMMITTEE TO REELECT LARRY ABRAHAMSON FOR DISTRICT ATTORNEY","20085602422","Candidate Committee","01/17/2008","Terminated","STATEWIDE"
"MONTROSE REPUBLICAN WOMEN","20085602434","527 Political Organization","01/17/2008","Terminated","STATEWIDE"
"FRIENDS OF KEVIN PRIOLA","20085602534","Candidate Committee","01/16/2008","Terminated","STATEWIDE"
"BOLIN FOR STATE REPRESENTATIVE","20085602661","Candidate Committee","01/22/2008","Terminated","STATEWIDE"
"A WHOLE LOT OF PEOPLE WHO SUPPORT BUFFIE","20085602664","Candidate Committee","01/18/2008","Terminated","STATEWIDE"
"JERRY CALL FOR STATE SENATE","20085602669","Candidate Committee","01/22/2008","Terminated","STATEWIDE"
"COMMITTEE TO ELECT SARAH LAW DISTRICT ATTORNEY","20085602677","Candidate Committee","01/22/2008","Terminated","STATEWIDE"
"FRIENDS OF YTTERBERG- SENATE DISTRICT 16","20085602734","Candidate Committee","01/22/2008","Terminated","STATEWIDE"
"COMMITTEE TO ELECT THOM K. LEDOUX, DISTRICT ATTORNEY","20085602907","Candidate Committee","01/21/2008","Terminated","STATEWIDE"
"COMMITTEE TO ELECT MARCY FREEBURG","20085602908","Candidate Committee","01/23/2008","Terminated","STATEWIDE"
"CAROLE MURRAY FOR COLORADO HOUSE","20085602909","Candidate Committee","01/22/2008","Terminated","STATEWIDE"
"APARTMENT ASSOCIATION OF METRO DENVER SMALL DONOR COMMITTEE","20085602910","Small Donor Committee","01/24/2008","Active","STATEWIDE"
"CO ASSOCIATION OF MECHANICAL AND PLUMBING CONTRACTORS PAC","20085603059","Political Committee","01/24/2008","Terminated","STATEWIDE"
"MASLANIK FOR RTD BOARD","20085603079","Candidate Committee","01/24/2008","Terminated","STATEWIDE"
"COMMITTEE TO ELECT JANE GOFF","20085603331","Candidate Committee","01/24/2008","Terminated","STATEWIDE"
"HAUTZINGER FOR MESA COUNTY / 21ST J.D. DISTRICT ATTORNEY","20085603532","Candidate Committee","01/28/2008","Terminated","STATEWIDE"
"COMMITTEE TO ELECT HOLLY HANSEN","20085603565","Candidate Committee","01/28/2008","Terminated","STATEWIDE"
"MATT FRIES FOR FORT COLLINS","20085603823","Candidate Committee","01/25/2008","Terminated","STATEWIDE"
"CAMILLE FOR COLORADO","20085603905","Candidate Committee","01/29/2008","Terminated","STATEWIDE"
"COMMITTEE TO ELECT JENNIFER ESCH SWANSON, DISTRICT ATTORNEY","20085603915","Candidate Committee","01/29/2008","Terminated","STATEWIDE"
"AJ CLEMMONS FOR CU REGENT","20085604074","Candidate Committee","01/30/2008","Terminated","STATEWIDE"
"EXLINE ELECTION COMMITTEE","20085604562","Candidate Committee","02/04/2008","Terminated","STATEWIDE"
"COMMITTEE FOR FINANCIAL RISK SERVICES","20085604578","Political Committee","02/01/2008","Active","STATEWIDE"
"HOLLAND FOR STATE HOUSE","20085605115","Candidate Committee","02/05/2008","Terminated","STATEWIDE"
"FRIENDS OF SU RYDEN","20085605131","Candidate Committee","02/04/2008","Terminated","STATEWIDE"
"CLEAN GOVERNMENT COLORADO","20085605151","Issue Committee","02/05/2008","Terminated","STATEWIDE"
"FUND FOR EDUCATIONAL PROGRESS (FEP)","20085605166","Small Donor Committee","01/30/2008","Active","STATEWIDE"
"PROTECT COLORADO'S FUTURE","20085605180","Issue Committee","02/05/2008","Terminated","STATEWIDE"
"SCHAUER FOR REGENT","20085605198","Candidate Committee","01/31/2008","Terminated","STATEWIDE"
"COMMITTEE TO ELECT TONY D'LALLO","20085605352","Candidate Committee","02/05/2008","Terminated","STATEWIDE"
"KERBER FOR COLORADO","20085605383","Candidate Committee","02/06/2008","Terminated","STATEWIDE"
"CITIZENS FOR MORGAN CARROLL","20085605385","Candidate Committee","02/06/2008","Terminated","STATEWIDE"
"COLORADO CHAMBER SMALL DONOR COMMITTEE","20085605404","Small Donor Committee","02/07/2008","Active","STATEWIDE"
"ELECT SCOTT TIPTON","20085605529","Candidate Committee","02/08/2008","Terminated","STATEWIDE"
"COMMITTEE TO ELECT MARCIA NEAL","20085605535","Candidate Committee","02/08/2008","Terminated","STATEWIDE"
"COMMITTEE TO RE-ELECT MARK HURLBERT, DA","20085605673","Candidate Committee","02/11/2008","Terminated","STATEWIDE"
"COMMITTEE TO ELECT VINCE CHOWDHURY","20085606170","Candidate Committee","02/12/2008","Terminated","STATEWIDE"
"COMMITTEE TO ELECT EDWARD VIGIL","20085606897","Candidate Committee","02/15/2008","Terminated","STATEWIDE"
"SCOTT HELMAN FOR STATE HOUSE","20085606979","Candidate Committee","02/21/2008","Terminated","STATEWIDE"
"VOTE 'DONNA GALLUP FOR THE HOUSE' COMMITTEE","20085607069","Candidate Committee","02/22/2008","Terminated","STATEWIDE"
"PATRICK MULLIGAN FOR CU REGENT","20085607261","Candidate Committee","02/26/2008","Terminated","STATEWIDE"
"COMMITTEE TO ELECT  GEORGE CAROUTHERS","20085607345","Candidate Committee","02/26/2008","Terminated","STATEWIDE"
"ACCOUNTABLE REPRESENTATION FOR EDUCATION","20085607523","527 Political Organization","02/28/2008","Terminated","STATEWIDE"
"BODNAR FOR COLORADO HOUSE","20085607572","Candidate Committee","02/29/2008","Terminated","STATEWIDE"
"1833 FUND","20085607579","Small Donor Committee","02/29/2008","Terminated","STATEWIDE"
"TOM BOPP 2008","20085607664","Candidate Committee","03/03/2008","Terminated","STATEWIDE"
"COMMITTEE TO ELECT JJ","20085607671","Candidate Committee","03/03/2008","Terminated","STATEWIDE"
"COMMITTEE TO ELECT KATHY GREEN","20085607846","Candidate Committee","03/03/2008","Terminated","STATEWIDE"
"BERMAN FOR STATE BOARD","20085607981","Candidate Committee","02/27/2008","Terminated","STATEWIDE"
"MOUNTAIN VIEW FIREFIGHTERS SMALL DONOR","20085608291","Small Donor Committee","03/04/2008","Terminated","STATEWIDE"
"SERRA, MYRL COMMITTEE TO ELECT DA: ELECT DA JD7","20085608427","Candidate Committee","03/06/2008","Terminated","STATEWIDE"
"COMMITTEE TO ELECT DAN KORKOWSKI","20085608673","Candidate Committee","03/05/2008","Terminated","STATEWIDE"
"COMMITTEE TO ELECT MARK SIEVERS","20085608674","Candidate Committee","03/06/2008","Terminated","STATEWIDE"
"RIMA B. SINCLAIR ELECTION COMMITTEE","20085608930","Candidate Committee","03/07/2008","Terminated","STATEWIDE"
"COMMITTE TO ELECT JACK KNIGHT TO HOUSE DISTRICT 32","20085609081","Candidate Committee","03/10/2008","Terminated","STATEWIDE"
"COMMITTEE TO ELECT CLYDE ROBINSON","20085609093","Candidate Committee","03/09/2008","Terminated","STATEWIDE"
"DANIEL M. LUCAS FOR STATE REPRESENTATIVE IN COLORADO'S HOUSE DISTRICT 12/COMMITTEE","20085609702","Candidate Committee","03/10/2008","Terminated","STATEWIDE"
"THE CITIZENS' PLATFORM FOR 14TH JUDICIAL DISTRICT ATTORNEY","20085609717","Political Committee","03/10/2008","Terminated","STATEWIDE"
"TODD RISBERG FOR DA","20085609730","Candidate Committee","03/10/2008","Terminated","STATEWIDE"
"GREG WEATHERFORD FOR DA CAMPAIGN COMMITTEE","20085609986","Candidate Committee","03/10/2008","Terminated","STATEWIDE"
"JAMES ROSS FOR HOUSE DISTRICT 49","20085610314","Candidate Committee","03/10/2008","Terminated","STATEWIDE"
"CITIZENS FOR NATHAN WILKES","20085611309","Candidate Committee","03/14/2008","Terminated","STATEWIDE"
"CLEAN GOVERNMENT COLORADO","20085611321","527 Political Organization","03/15/2008","Terminated","STATEWIDE"
"HIGGINSON FOR HOUSE DISTRICT 23 COMMITTEE","20085611333","Candidate Committee","03/16/2008","Terminated","STATEWIDE"
"OVIEH AGAHRO FOR HD 44 (OA 08)","20085611345","Candidate Committee","03/14/2008","Terminated","STATEWIDE"
"KAREN WILDE FOR HD 40","20085611506","Candidate Committee","03/17/2008","Terminated","STATEWIDE"
"LANE FOR COLORADO SENATE","20085611511","Candidate Committee","03/17/2008","Terminated","STATEWIDE"
"KATIE WITT FOR SD 17","20085611539","Candidate Committee","03/12/2008","Terminated","STATEWIDE"
"COMMITTEE TO ELECT DOROTHY MARSHALL","20085611942","Candidate Committee","03/17/2008","Terminated","STATEWIDE"
"COMMITTEE TO ELECT CHERYL PALM","20085611944","Candidate Committee","03/17/2008","Terminated","STATEWIDE"
"COMMITTEE TO ELECT HOLLY GORMAN","20085611949","Candidate Committee","03/17/2008","Terminated","STATEWIDE"
"COMMITTEE TO ELECT SUEYUNA DUTHIE","20085611961","Candidate Committee","03/14/2008","Terminated","STATEWIDE"
"COMMITTEE TO ELECT VICKI STACK","20085612368","Candidate Committee","03/19/2008","Terminated","STATEWIDE"
"BILL WILLIAMS FOR HOUSE DISTRICT 48","20085612373","Candidate Committee","03/19/2008","Terminated","STATEWIDE"
"COMMITTEE TO ELECT JOSEPH ALSUP","20085613234","Candidate Committee","03/20/2008","Terminated","STATEWIDE"
"COMMITTEE TO ELECT TOM TOBIASSEN","20085613246","Candidate Committee","03/22/2008","Terminated","STATEWIDE"
"GEORGE FOR DA","20085613258","Candidate Committee","03/24/2008","Terminated","STATEWIDE"
"KENT BAGLEY, RTD DISTRICT H","20085613270","Candidate Committee","03/19/2008","Terminated","STATEWIDE"
"MCMULLEN FOR R.T.D.","20085613551","Candidate Committee","03/26/2008","Terminated","STATEWIDE"
"COMMITTEE TO ELECT LANDAUER","20085613997","Candidate Committee","03/28/2008","Terminated","STATEWIDE"
"ROB HARRIS FOR COLORADO","20085614163","Candidate Committee","03/31/2008","Terminated","STATEWIDE"
"COLORADO ASSOCIATION OF MECHANICAL AND PLUMBING CONTRACTORS","20085614248","Small Donor Committee","03/26/2008","Terminated","STATEWIDE"
"COLORADO SPRINGS PROFESSIONAL FIREFIGHTERS SMALL DONOR COMMITTEE","20085614249","Small Donor Committee","03/31/2008","Terminated","STATEWIDE"
"COMMITTEE TO ELECT MICHELLE MAKSIMOWICZ","20085614278","Candidate Committee","03/31/2008","Terminated","STATEWIDE"
"FRIENDS OF JOHN STEVENS","20085614291","Candidate Committee","03/27/2008","Terminated","STATEWIDE"
"CITIZENS FOR BOB MCCASLIN","20085614421","Candidate Committee","04/02/2008","Terminated","STATEWIDE"
"VOTE NO ON AMENDMENT 46","20085614474","Issue Committee","04/02/2008","Terminated","STATEWIDE"
"A BETTER COLORADO","20085614486","Issue Committee","04/03/2008","Terminated","STATEWIDE"
"CITIZENS TO ELECT TAMMY L. STEWART FOR DISTRICT ATTORNEY","20085614586","Candidate Committee","04/03/2008","Terminated","STATEWIDE"
"COMMITTEE TO ELECT MARC YINGLING","20085614600","Candidate Committee","04/03/2008","Terminated","STATEWIDE"
"ELECT ROBERT JOHN HADFIELD","20085614613","Candidate Committee","04/04/2008","Terminated","STATEWIDE"
"CITIZENS FOR JOSHUA SHARF","20085614627","Candidate Committee","04/03/2008","Terminated","STATEWIDE"
"ELECT KATHERINE SZOT","20085614640","Candidate Committee","04/04/2008","Terminated","STATEWIDE"
"RUSSELL WASLEY FOR D.A.","20085614767","Candidate Committee","04/07/2008","Terminated","STATEWIDE"
"COMMITTEE TO ELECT RANDY JACKSON","20085614821","Candidate Committee","04/04/2008","Terminated","STATEWIDE"
"TRACY GIMER FOR HD35","20085614977","Candidate Committee","04/08/2008","Terminated","STATEWIDE"
"COMMITTEE TO REELECT BARBARA BROHL","20085615194","Candidate Committee","04/10/2008","Terminated","STATEWIDE"
"CITIZENS FOR LAURA YRIBIA","20085616081","Candidate Committee","04/15/2008","Terminated","STATEWIDE"
"DEFEND OUR ECONOMY","20085616094","Issue Committee","04/14/2008","Terminated","STATEWIDE"
"BRAKE FOR STATE BOARD OF EDUCATION","20085616340","Candidate Committee","04/09/2008","Terminated","STATEWIDE"
"CLEAN ENERGY PROGRESS (CEPF)","20085616352","Issue Committee","04/17/2008","Terminated","STATEWIDE"
"COLORADO CITIZENS FOR HEALTH FREEDOM","20085616364","Issue Committee","04/17/2008","Terminated","STATEWIDE"
"COMMITTEE TO ELECT RAY WARREN","20085616365","Candidate Committee","04/17/2008","Terminated","STATEWIDE"
"SOUTH PLATTE REPUBLICAN WOMEN (SPRW)","20085616377","527 Political Organization","04/17/2008","Terminated","STATEWIDE"
"FRIENDS OF TOM DITTEMORE","20085616517","Candidate Committee","04/11/2008","Terminated","STATEWIDE"
"ELECT TOM THOMASON","20085616529","Candidate Committee","04/10/2008","Terminated","STATEWIDE"
"ED BREWER FOR STATE SENATE","20085616558","Candidate Committee","04/21/2008","Terminated","STATEWIDE"
"KEN WYBLE FOR SENATE","20085616572","Candidate Committee","04/21/2008","Terminated","STATEWIDE"
"JAMES R. PHILLIPS","20085616869","Candidate Committee","04/23/2008","Terminated","STATEWIDE"
"COLORADANS FOR RESPONSIBLE REFORM - 2008 (CFRR - 2008)","20085617205","Issue Committee","04/24/2008","Terminated","STATEWIDE"
"COLORADO FRATERNAL ORDER OF POLICE LODGE #1 SMALL DONOR COMMITTEE","20085617217","Small Donor Committee","04/24/2008","Active","STATEWIDE"
"COMMITTEE TO ELECT DENNIS APUAN","20085617280","Candidate Committee","04/28/2008","Terminated","STATEWIDE"
"SCHEFFEL 4 SENATE","20085617332","Candidate Committee","04/30/2008","Terminated","STATEWIDE"
"HOBBS FOR SLV DA","20085617593","Candidate Committee","04/30/2008","Terminated","STATEWIDE"
"COMMITTEE TO ELECT SUZANNE ANDREWS","20085618033","Candidate Committee","05/01/2008","Terminated","STATEWIDE"
"BOB DENNY FOR STATE SENATE COMMITTEE","20085618046","Candidate Committee","05/02/2008","Terminated","STATEWIDE"
"FRIENDS OF DAN GIBBS","20085618096","Candidate Committee","05/05/2008","Terminated","STATEWIDE"
"RANDY REED FOR SENATE COMMITTEE","20085618218","Candidate Committee","05/01/2008","Terminated","STATEWIDE"
"COMMITTEE TO RE-ELECT JIM WILSON FOR DISTRICT ATTORNEY","20085618220","Candidate Committee","04/30/2008","Terminated","STATEWIDE"
"HIGH COUNTRY REPUBLICAN (HCRC)","20085618329","527 Political Organization","04/30/2008","Terminated","STATEWIDE"
"COLORADOANS FOR REFORM IN HIGHER EDUCATION","20085618463","527 Political Organization","05/08/2008","Terminated","STATEWIDE"
"AIMEE RATHBURN FOR RTD BOARD","20085618720","Candidate Committee","05/12/2008","Terminated","STATEWIDE"
"PARENTS FOR SCHOOL CHOICE","20085619550","Political Committee","05/14/2008","Terminated","STATEWIDE"
"COLORADANS FOR MIDDLE CLASS RELIEF","20085619561","Issue Committee","05/13/2008","Terminated","STATEWIDE"
"COMMITTEE FOR COHEN","20085619562","Candidate Committee","05/12/2008","Terminated","STATEWIDE"
"COLORADANS  FOR A STABLE ECONOMY","20085619574","Issue Committee","05/16/2008","Terminated","STATEWIDE"
"FRIENDS OF AMY ATTWOOD","20085619764","Candidate Committee","05/19/2008","Terminated","STATEWIDE"
"DAN MAY FOR D.A.","20085620124","Candidate Committee","05/23/2008","Terminated","STATEWIDE"
"PARENTS FOR SCHOOL CHOICE SMALL DONOR COMMITTEE","20085620362","Small Donor Committee","05/22/2008","Terminated","STATEWIDE"
"COLORADANS FOR COMMUNITY COLLEGES","20085620373","Issue Committee","05/21/2008","Terminated","STATEWIDE"
"COLORADANS FOR EQUAL OPPORTUNITY","20085620385","Issue Committee","05/22/2008","Active","STATEWIDE"
"PROTECT COLORADO'S COMMUNITIES","20085620397","Issue Committee","05/22/2008","Terminated","STATEWIDE"
"BIJOU COUNTY ORGANIZATION COMMITTEE","20085620408","Issue Committee","05/15/2008","Terminated","STATEWIDE"
"COMMITTEE TO ELECT TROY SAMMONS TO HOUSE  DISTRICT 47","20085620486","Candidate Committee","05/28/2008","Terminated","STATEWIDE"
"A SMARTER COLORADO","20085620514","Issue Committee","05/28/2008","Terminated","STATEWIDE"
"CITIZENS FOR CONSTITUTIONAL COMMON SENSE (CCCS)","20085620906","Issue Committee","06/01/2008","Terminated","STATEWIDE"
"COMMITTEE TO ELECT ELIZABETH OLDHAM","20085620917","Candidate Committee","06/02/2008","Active","STATEWIDE"
"COMMITTEE TO ELECT MAC MYERS","20085620928","Candidate Committee","05/31/2008","Terminated","STATEWIDE"
"HOUSE DIST. 16","20085620943","Candidate Committee","06/02/2008","Terminated","STATEWIDE"
"FOOTHILLS REPUBLICANS","20085621234","Political Committee","06/03/2008","Active","STATEWIDE"
"CITIZENS FOR LINDA NEWELL","20085621506","Candidate Committee","06/05/2008","Terminated","STATEWIDE"
"BETTER ROADS NOW ISSUE COMMITTEE","20085621704","Issue Committee","06/04/2008","Terminated","STATEWIDE"
"COLORADO CITIZENS' COALITION","20085621714","527 Political Organization","06/04/2008","Terminated","STATEWIDE"
"CAL CALI FOR HD 60","20085621785","Candidate Committee","06/09/2008","Terminated","STATEWIDE"
"COMMITTEE TO ELECT ANDREA MOSBY","20085622247","Candidate Committee","06/10/2008","Terminated","STATEWIDE"
"COMMITTEE TO ELECT BJ NIKKEL","20085622248","Candidate Committee","07/01/2008","Terminated","STATEWIDE"
"COMMITTEE TO ELECT KEVIN FARRELL","20085622509","Candidate Committee","06/12/2008","Terminated","STATEWIDE"
"COMMITTEE TO ELECT RAMEY JOHNSON","20085622929","Candidate Committee","06/16/2008","Terminated","STATEWIDE"
"SENATE DIST 21 COALITION TO ELECT NATALIE MENTEN","20085622957","Candidate Committee","06/13/2008","Terminated","STATEWIDE"
"FORWARD LEADERSHIP FUND - SMALL DONOR COMMITTEE","20085623599","Small Donor Committee","06/09/2008","Terminated","STATEWIDE"
"FORWARD LEADERSHIP FUND","20085623611","527 Political Organization","06/09/2008","Terminated","STATEWIDE"
"FORWARD LEADERSHIP FUND - POLITICAL COMMITTEE","20085623621","Political Committee","06/09/2008","Terminated","STATEWIDE"
"WOMEN OF COLOR UNITED","20085623631","Small Donor Committee","06/10/2008","Terminated","STATEWIDE"
"ROCK THE HOUSE -- ELECT DOC","20085623644","Candidate Committee","06/16/2008","Terminated","STATEWIDE"
"CHAMPIONS FOR CREDIT UNIONS SMALL DONOR COMMITTEE","20085623654","Small Donor Committee","06/19/2008","Terminated","STATEWIDE"
"LEADERSHIP MATTERS","20085623664","527 Political Organization","06/16/2008","Terminated","STATEWIDE"
"KEN TORRES","20085623789","Candidate Committee","06/20/2008","Terminated","STATEWIDE"
"THE DENVER FOUNDATION, INC.","20085623800","Issue Committee","06/20/2008","Terminated","STATEWIDE"
"COLORADO REPUBLICAN COMMITTEE SMALL DONOR COMMITTEE","20085623830","Small Donor Committee","06/23/2008","Active","STATEWIDE"
"CITIZEN'S FOR THE AMERICAN DREAM","20085623882","Small Donor Committee","06/20/2008","Terminated","STATEWIDE"
"FRIENDS OF ROBERT HOUDESHELL","20085624258","Candidate Committee","06/25/2008","Terminated","STATEWIDE"
"COLORADO FINANCIAL SERVICES  ASSOCIATION PAC (CFSA PAC)","20085624270","Political Committee","06/24/2008","Terminated","STATEWIDE"
"SIERRA CLUB STATE ACTION FUND COLORADO","20085624361","Issue Committee","06/26/2008","Terminated","STATEWIDE"
"PLANNED PARENTHOOD OF THE ROCKY MOUNTAINS ISSUE COMMITTEE","20085624371","Issue Committee","06/28/2008","Terminated","STATEWIDE"
"TODD FOR COLORADO","20085624499","Candidate Committee","06/30/2008","Terminated","STATEWIDE"
"PARENTS FOR SCHOOL CHOICE","20085624661","527 Political Organization","07/02/2008","Terminated","STATEWIDE"
"PAT HAYES FOR CU REGENT","20085624819","Candidate Committee","07/07/2008","Terminated","STATEWIDE"
"COMMITTE TO ELECT DAVID DUNCAN DA","20085624931","Candidate Committee","07/06/2008","Terminated","STATEWIDE"
"COMMITTEE TO ELECT JACK O'BOYLE","20085624941","Candidate Committee","07/06/2008","Terminated","STATEWIDE"
"COMMITTEE TO ELECT MARK L. MINER FOR DISTRICT ATTORNEY","20085624956","Candidate Committee","07/01/2008","Terminated","STATEWIDE"
"CONSERVATION COLORADO, A PROJECT OF THE CONSERVATION CAMPAIGN","20085625056","Issue Committee","07/07/2008","Terminated","STATEWIDE"
"EQUAL RIGHTS ACTION (ERA)","20085625215","Small Donor Committee","07/08/2008","Terminated","STATEWIDE"
"PEOPLE FOR VICTIMS' RIGHTS","20085625224","527 Political Organization","07/08/2008","Terminated","STATEWIDE"
"WELD COUNTY CONSERVATIVE ALLIANCE","20085625409","527 Political Organization","07/10/2008","Terminated","STATEWIDE"
"BRING OUR ECONOMY BACK","20085625625","527 Political Organization","07/10/2008","Terminated","STATEWIDE"
"CONSERVATIVE CAUCUS OF DELTA COUNTY","20085626388","Political Committee","07/10/2008","Terminated","STATEWIDE"
"MARY ARNOLD FOR HOUSE DISTRICT #29","20085626437","Candidate Committee","07/08/2008","Terminated","STATEWIDE"
"VOTE NO 47","20085626441","Issue Committee","07/11/2008","Terminated","STATEWIDE"
"COMMITTEE TO ELECT LARRY ORR DISTRICT ATTORNEY","20085626848","Candidate Committee","07/07/2008","Terminated","STATEWIDE"
"MARY LYNN WAGNER FOR HOUSE DISTRICT 23","20085626924","Candidate Committee","07/15/2008","Terminated","STATEWIDE"
"POLICY ACTION FUND","20085627901","Issue Committee","07/21/2008","Terminated","STATEWIDE"
"DAVE MAHONEE CAMPAIGN","20085627913","Candidate Committee","07/18/2008","Terminated","STATEWIDE"
"ETHICAL STANDARDS NOW","20085628747","Issue Committee","07/24/2008","Terminated","STATEWIDE"
"OLDS2008","20085628755","Candidate Committee","07/28/2008","Terminated","STATEWIDE"
"COALITION FOR SECULAR GOVERNMENT (CSG)","20085628886","Issue Committee","07/29/2008","Terminated","STATEWIDE"
"COLORADO VALUES","20085629220","527 Political Organization","08/02/2008","Terminated","STATEWIDE"
"DEMOCRATIC LIEUTENANT GOVERNORS ASSOCIATION","20085629601","Political Committee","07/31/2008","Terminated","STATEWIDE"
"THORNTON CIRCLE R","20085629651","Small Donor Committee","07/31/2008","Terminated","STATEWIDE"
"COLORADANS FOR INTEGRITY","20085629661","527 Political Organization","08/06/2008","Terminated","STATEWIDE"
"TEAM TOKERUD","20085629752","Candidate Committee","08/05/2008","Terminated","STATEWIDE"
"MERCHANT FOR CU REGENT","20085629821","Candidate Committee","08/06/2008","Terminated","STATEWIDE"
"CHANGE IN OUR COMMUNITY","20085630235","527 Political Organization","08/08/2008","Terminated","STATEWIDE"
"PROTECT COLORADO'S ECONOMIC FUTURE","20085630243","Issue Committee","08/08/2008","Terminated","STATEWIDE"
"COLORADO HEALTH CARE ASSOCIATION - SMALL DONOR COMMITTEE - CHCA - SDC (CHCA - SDC)","20085630312","Small Donor Committee","08/11/2008","Active","STATEWIDE"
"CITIZENS FOR ECONOMIC OPPORTUNITY (CEO)","20085630530","527 Political Organization","08/15/2008","Terminated","STATEWIDE"
"HERRERA FOR RTD","20085630559","Candidate Committee","08/15/2008","Terminated","STATEWIDE"
"COMMITTEE TO ELECT VICKY PETERS","20085630651","Candidate Committee","08/17/2008","Terminated","STATEWIDE"
"MARTINEZ FOR STATE REPRESENTATIVE","20085630805","Candidate Committee","08/13/2008","Terminated","STATEWIDE"
"RNDC PAC (REPUBLIC NATIONAL DISTRIBUTING COMPANY)","20085631158","Political Committee","08/22/2008","Active","STATEWIDE"
"CITIZENS FOR COST EFFECTIVE GOVERNMENT","20085631331","527 Political Organization","08/22/2008","Terminated","STATEWIDE"
"ELBERT COUNTY REPUBLICAN WOMEN (ECRW)","20085631345","527 Political Organization","08/22/2008","Terminated","STATEWIDE"
"GOODBEE, MICHAEL COMMITTEE TO ELECT","19991005001","Candidate Committee","07/23/2000","Terminated","STATEWIDE"
"ANGELO, WYATT COMM TO ELECT DA: ELECT DA JD7","19991007001","Candidate Committee","07/23/2000","Terminated","STATEWIDE"
"VANMEVEREN, STU CITIZENS FOR","19991008001","Candidate Committee","07/23/2000","Terminated","STATEWIDE"
"MYERS, MAC COMMITTEE TO ELECT: ELECTION OF A","19991009002","Candidate Committee","07/23/2000","Terminated","STATEWIDE"
"SANDSTROM, GUS COMMITTEE TO ELECT","19991010001","Candidate Committee","07/23/2000","Terminated","STATEWIDE"
"RODGERS, EDWARD COMMITTEE TO ELECT","19991011001","Candidate Committee","07/23/2000","Terminated","STATEWIDE"
"PASTORE, BOB COMMITTEE TO ELECT","19991012001","Candidate Committee","07/23/2000","Terminated","STATEWIDE"
"ADAMS, MARK COMMITTEE TO ELECT","19991013002","Candidate Committee","07/23/2000","Terminated","STATEWIDE"
"GRANT, BOB COMMITTEE TO ELECT","19991017001","Candidate Committee","07/23/2000","Terminated","STATEWIDE"
"PETERS, JIM FOR DIST ATTORNEY","19991018001","Candidate Committee","07/23/2000","Terminated","STATEWIDE"
"HUNTER, ALEXANDER RE-ELECT COMM: RE-ELECT DIST","19991020001","Candidate Committee","07/23/2000","Terminated","STATEWIDE"
"KEENAN, MARY FOR DISTRICT ATTORNEY","19991020002","Candidate Committee","07/23/2000","Terminated","STATEWIDE"
"THOMPSON, BEN FOR DIST ATTORNEY: PROMOTE &","19991020003","Candidate Committee","07/23/2000","Terminated","STATEWIDE"
"DANIELS, FRANK J COMMITTEE TO ELECT DA21","19991021001","Candidate Committee","07/23/2000","Terminated","STATEWIDE"
"COMMITTEE TO PRESERVE COLORADO","19991200001","Issue Committee","07/23/2000","Terminated","STATEWIDE"
"UNITE COLORADO (PREVIOUS KNOWN AS COMMITTEE FOR EQUAL OPPORTUNITY)","19991200002","Issue Committee","07/23/2000","Terminated","STATEWIDE"
"COLORADANS FOR FAIR FISHING","19991200011","Issue Committee","07/23/2000","Terminated","STATEWIDE"
"COLORADO INFORMED CHOICE COMM: TO PLACE TWO INITIATIVES ON 1998 BALLOT","19991200012","Issue Committee","07/23/2000","Terminated","STATEWIDE"
"COLORADO CONCERN (ISSUES)","19991200013","Issue Committee","07/23/2000","Terminated","STATEWIDE"
"CITIZEN ACTION FOR COLORADO NONPROFITS (CACN)","19991200017","Issue Committee","07/23/2000","Active","STATEWIDE"
"COLORADO EXECUTIVE COMMITTEE: OPPOSE TOBACCO TAX INCREASE","19991200027","Issue Committee","07/23/2000","Terminated","STATEWIDE"
"CITIZENS AGAINST TAX ABUSE:","19991200030","Issue Committee","07/23/2000","Terminated","STATEWIDE"
"CITIZENS OPPOSING STADIUM TAX: OPPOSE ISSUE OF A TAX FOR A NEW","19991200033","Issue Committee","07/23/2000","Terminated","STATEWIDE"
